constructorId,year,constructorRef,constructor_name,constructor_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
3,2015,williams,Williams,British,466.0,394.0,0.8454935622317596,72.0,0.15450643776824036,42.0,0.09012875536480687,22.0,0.04721030042918455,5.0,0.01072961373390558,0.9098712446351931,21,73,266,2616.0,5.613733905579399,7.051502145922747,5.212802815587925,0.16095794920305526,4.746375877249535
3,2016,williams,Williams,British,38.0,34.0,0.8947368421052632,4.0,0.10526315789473684,1.0,0.02631578947368421,0.0,0.0,3.0,0.07894736842105263,0.9736842105263158,0,4,26,257.0,6.7631578947368425,6.052631578947368,4.328287423700126,0.18767756325456808,6.051246537396122
3,2017,williams,Williams,British,80.0,70.0,0.875,10.0,0.125,5.0,0.0625,1.0,0.0125,4.0,0.05,0.9375,0,5,54,395.0,4.9375,7.1375,4.546272511629719,0.18030127403641757,4.3203125
3,2018,williams,Williams,British,120.0,103.0,0.8583333333333333,17.0,0.14166666666666666,9.0,0.075,4.0,0.03333333333333333,4.0,0.03333333333333333,0.925,0,6,74,478.0,3.9833333333333334,7.575,4.728746310246159,0.17455826211250589,3.4190277777777776
3,2019,williams,Williams,British,162.0,140.0,0.8641975308641975,22.0,0.13580246913580246,12.0,0.07407407407407407,6.0,0.037037037037037035,4.0,0.024691358024691357,0.9259259259259259,0,6,77,485.0,2.993827160493827,8.882716049382717,5.329148592584107,0.157999134539471,2.587258039932937
3,2020,williams,Williams,British,204.0,178.0,0.8725490196078431,26.0,0.12745098039215685,15.0,0.07352941176470588,7.0,0.03431372549019608,4.0,0.0196078431372549,0.9264705882352942,0,6,78,486.0,2.3823529411764706,10.07843137254902,5.791620509636593,0.14724026446723656,2.078719723183391
3,2021,williams,Williams,British,238.0,205.0,0.8613445378151261,33.0,0.13865546218487396,17.0,0.07142857142857142,11.0,0.046218487394957986,5.0,0.02100840336134454,0.9285714285714286,0,6,78,486.0,2.042016806722689,10.373949579831933,5.957030479350561,0.14373948812904297,1.7588800225972743
3,2022,williams,Williams,British,282.0,241.0,0.8546099290780141,41.0,0.1453900709219858,20.0,0.07092198581560284,16.0,0.05673758865248227,5.0,0.01773049645390071,0.9290780141843972,0,7,84,509.0,1.8049645390070923,10.53191489361702,6.02189055336682,0.14241178958856388,1.5425406166691817
3,2023,williams,Williams,British,326.0,277.0,0.8496932515337423,49.0,0.15030674846625766,23.0,0.0705521472392638,21.0,0.06441717791411043,5.0,0.015337423312883436,0.9294478527607362,0,7,89,517.0,1.5858895705521472,10.674846625766872,6.035054485685112,0.14214530989557994,1.347519665775904
3,2024,williams,Williams,British,370.0,313.0,0.845945945945946,57.0,0.15405405405405406,25.0,0.06756756756756757,26.0,0.07027027027027027,6.0,0.016216216216216217,0.9324324324324325,0,7,97,543.0,1.4675675675675677,10.635135135135135,6.038109432784324,0.14208361059887545,1.241482834185537
