driverId,year,driverRef,forename,surname,driver_nationality,sessions_count,sessions_quali,sessions_rate,top5_finishes,top10_finishes,top10_rate,pole_count,pole_rate,front_row_count,front_row_rate,q2_appearances,q3_appearances,q3_rate,avg_quali_position,std_quali_position,consistency_index,performance_score
822,2016,bottas,Valtteri,Bottas,Finnish,19.0,19.0,1.0,9,17,0.8947368421052632,0,0.0,0,0.0,19.0,19.0,1.0,6.105263157894737,3.3386845320323584,0.2304846071699923,0.7447368421052631
822,2017,bottas,Valtteri,Bottas,Finnish,40.0,40.0,1.0,12,31,0.775,0,0.0,0,0.0,40.0,40.0,1.0,7.275,3.0658400153954544,0.24595163513897814,0.68625
822,2018,bottas,Valtteri,Bottas,Finnish,60.0,60.0,1.0,30,51,0.85,4,0.06666666666666667,6,0.1,60.0,60.0,1.0,5.85,3.3207679834640667,0.2314403374185057,0.7575000000000001
822,2019,bottas,Valtteri,Bottas,Finnish,81.0,81.0,1.0,49,72,0.8888888888888888,6,0.07407407407407407,15,0.18518518518518517,81.0,81.0,1.0,5.246913580246914,3.267992415020326,0.23430219708936328,0.7876543209876543
822,2020,bottas,Valtteri,Bottas,Finnish,102.0,102.0,1.0,68,93,0.9117647058823529,11,0.10784313725490197,25,0.24509803921568626,102.0,102.0,1.0,4.784313725490196,3.142458919133083,0.2414025146709906,0.8107843137254902
822,2021,bottas,Valtteri,Bottas,Finnish,119.0,119.0,1.0,84,110,0.9243697478991597,16,0.13445378151260504,39,0.3277310924369748,119.0,119.0,1.0,4.428571428571429,3.115619173315835,0.2429768056489855,0.8285714285714285
822,2022,bottas,Valtteri,Bottas,Finnish,141.0,141.0,1.0,101,132,0.9361702127659575,19,0.1347517730496454,46,0.3262411347517731,141.0,141.0,1.0,4.326241134751773,3.030568736036167,0.2481039440065331,0.8336879432624114
822,2023,bottas,Valtteri,Bottas,Finnish,163.0,163.0,1.0,102,140,0.8588957055214724,19,0.1165644171779141,46,0.2822085889570552,163.0,163.0,1.0,5.319018404907975,4.069496767961185,0.19725823800104186,0.7840490797546013
822,2024,bottas,Valtteri,Bottas,Finnish,185.0,185.0,1.0,102,145,0.7837837837837838,19,0.10270270270270271,46,0.24864864864864866,185.0,185.0,1.0,6.335135135135135,4.858662713146167,0.17068741604737114,0.7332432432432432
825,2015,kevin_magnussen,Kevin,Magnussen,Danish,209.0,209.0,1.0,102,147,0.7033492822966507,19,0.09090909090909091,46,0.22009569377990432,209.0,209.0,1.0,7.354066985645933,5.4666448528934115,0.15463969689823986,0.6822966507177034
825,2016,kevin_magnussen,Kevin,Magnussen,Danish,1.0,1.0,1.0,0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,18.0,0.0,1.0,0.15
825,2017,kevin_magnussen,Kevin,Magnussen,Danish,21.0,21.0,1.0,0,0,0.0,0,0.0,0,0.0,21.0,21.0,1.0,17.0,2.160246899469291,0.31643097258253233,0.2
825,2018,kevin_magnussen,Kevin,Magnussen,Danish,41.0,41.0,1.0,0,0,0.0,0,0.0,0,0.0,41.0,41.0,1.0,16.195121951219512,2.471491227491392,0.288060644394205,0.24024390243902438
825,2019,kevin_magnussen,Kevin,Magnussen,Danish,62.0,62.0,1.0,2,10,0.16129032258064516,0,0.0,0,0.0,62.0,62.0,1.0,14.274193548387096,4.052754359447772,0.19791185734770064,0.3362903225806452
825,2020,kevin_magnussen,Kevin,Magnussen,Danish,83.0,83.0,1.0,3,19,0.2289156626506024,0,0.0,0,0.0,83.0,83.0,1.0,13.614457831325302,4.153185235168229,0.19405473592826408,0.3692771084337349
825,2022,kevin_magnussen,Kevin,Magnussen,Danish,100.0,100.0,1.0,3,19,0.19,0,0.0,0,0.0,100.0,100.0,1.0,14.17,4.030024813819391,0.1988061763140054,0.3415
825,2023,kevin_magnussen,Kevin,Magnussen,Danish,122.0,122.0,1.0,6,28,0.22950819672131148,1,0.00819672131147541,1,0.00819672131147541,122.0,122.0,1.0,13.844262295081966,4.332531331044244,0.18752819963350778,0.3577868852459017
825,2024,kevin_magnussen,Kevin,Magnussen,Danish,144.0,144.0,1.0,7,31,0.2152777777777778,1,0.006944444444444444,1,0.006944444444444444,144.0,144.0,1.0,14.041666666666666,4.328322423295196,0.18767633047655732,0.3479166666666667
826,2015,kvyat,Daniil,Kvyat,Russian,166.0,166.0,1.0,7,34,0.20481927710843373,1,0.006024096385542169,1,0.006024096385542169,166.0,166.0,1.0,14.072289156626505,4.17185963714638,0.19335404867092623,0.34638554216867473
826,2016,kvyat,Daniil,Kvyat,Russian,19.0,19.0,1.0,5,13,0.6842105263157895,0,0.0,0,0.0,19.0,19.0,1.0,8.68421052631579,3.613609240794078,0.21675004271230466,0.6157894736842106
826,2017,kvyat,Daniil,Kvyat,Russian,40.0,40.0,1.0,5,18,0.45,0,0.0,0,0.0,40.0,40.0,1.0,11.325,4.660405025317007,0.17666580315849317,0.48375
826,2019,kvyat,Daniil,Kvyat,Russian,55.0,55.0,1.0,5,20,0.36363636363636365,0,0.0,0,0.0,55.0,55.0,1.0,11.690909090909091,4.271992199825733,0.18968161599955616,0.46545454545454545
826,2020,kvyat,Daniil,Kvyat,Russian,76.0,76.0,1.0,5,24,0.3157894736842105,0,0.0,0,0.0,76.0,76.0,1.0,12.223684210526315,4.153624556084555,0.19403819372510633,0.43881578947368427
828,2015,ericsson,Marcus,Ericsson,Swedish,93.0,93.0,1.0,5,28,0.3010752688172043,0,0.0,0,0.0,93.0,93.0,1.0,12.204301075268818,3.977244790606611,0.200914369710581,0.4397849462365591
828,2016,ericsson,Marcus,Ericsson,Swedish,19.0,19.0,1.0,0,3,0.15789473684210525,0,0.0,0,0.0,19.0,19.0,1.0,14.526315789473685,2.6231443777635994,0.276003353920236,0.32368421052631574
828,2017,ericsson,Marcus,Ericsson,Swedish,39.0,39.0,1.0,0,3,0.07692307692307693,0,0.0,0,0.0,39.0,39.0,1.0,16.641025641025642,3.2144479885568815,0.23727899898520796,0.2179487179487179
828,2018,ericsson,Marcus,Ericsson,Swedish,59.0,59.0,1.0,0,3,0.05084745762711865,0,0.0,0,0.0,59.0,59.0,1.0,17.152542372881356,2.8866352433006806,0.2572919601147756,0.19237288135593217
829,2015,stevens,Will,Stevens,British,80.0,80.0,1.0,0,6,0.075,0,0.0,0,0.0,80.0,80.0,1.0,16.7375,3.165216224841516,0.24008357454193135,0.21312499999999995
830,2015,max_verstappen,Max,Verstappen,Dutch,17.0,17.0,1.0,0,0,0.0,0,0.0,0,0.0,17.0,17.0,1.0,18.941176470588236,0.5391265523477426,0.6497191530317157,0.10294117647058823
