driverId,year,driverRef,forename,surname,driver_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
832,2022,sainz,Carlos,Sainz,Spanish,141.0,114.0,0.8085106382978723,27.0,0.19148936170212766,17.0,0.12056737588652482,8.0,0.05673758865248227,2.0,0.014184397163120567,0.8794326241134752,0,6,85,535.5,3.797872340425532,6.723404255319149,4.3793622758297355,0.18589564129063157,3.0706201901312813
832,2023,sainz,Carlos,Sainz,Spanish,163.0,130.0,0.7975460122699386,33.0,0.20245398773006135,19.0,0.1165644171779141,12.0,0.0736196319018405,2.0,0.012269938650306749,0.8834355828220859,1,15,101,763.5,4.684049079754601,6.159509202453988,4.381957402732616,0.1858060042415541,3.7357446648349577
832,2024,sainz,Carlos,Sainz,Spanish,185.0,150.0,0.8108108108108109,35.0,0.1891891891891892,20.0,0.10810810810810811,13.0,0.07027027027027027,2.0,0.010810810810810811,0.8918918918918919,2,18,119,941.5,5.089189189189189,6.108108108108108,4.327059945516866,0.1877208085186985,4.1263696128561
832,2025,sainz,Carlos,Sainz,Spanish,208.0,171.0,0.8221153846153846,37.0,0.1778846153846154,20.0,0.09615384615384616,15.0,0.07211538461538461,2.0,0.009615384615384616,0.9038461538461539,4,27,139,1203.5,5.7860576923076925,5.908653846153846,4.283950607004526,0.18925233681677062,4.756807045118343
833,2015,merhi,Roberto,Merhi,Spanish,231.0,190.0,0.8225108225108225,41.0,0.1774891774891775,21.0,0.09090909090909091,18.0,0.07792207792207792,2.0,0.008658008658008658,0.9090909090909091,4,29,149,1257.5,5.4437229437229435,6.528138528138528,4.733397551344949,0.1744166510423507,4.477521035962594
834,2015,rossi,Alexander,Rossi,American,13.0,12.0,0.9230769230769231,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,1.0,0,0,0,0.0,0.0,14.307692307692308,4.5129661981146505,0.18139055529525733,0.0
835,2016,jolyon_palmer,Jolyon,Palmer,British,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,15.4,2.3323807579381137,0.30008575629237,0.0
835,2017,jolyon_palmer,Jolyon,Palmer,British,21.0,15.0,0.7142857142857143,6.0,0.2857142857142857,2.0,0.09523809523809523,3.0,0.14285714285714285,1.0,0.047619047619047616,0.9047619047619048,0,0,1,1.0,0.047619047619047616,10.142857142857142,6.916410535377262,0.12631987635446,0.03401360544217687
836,2016,wehrlein,Pascal,Wehrlein,German,37.0,26.0,0.7027027027027027,11.0,0.2972972972972973,6.0,0.16216216216216217,4.0,0.10810810810810811,1.0,0.02702702702702703,0.8378378378378378,0,0,2,9.0,0.24324324324324326,9.324324324324325,6.559721706580753,0.13228000167380474,0.17092768444119796
836,2017,wehrlein,Pascal,Wehrlein,German,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,2.0,0.09523809523809523,3.0,0.14285714285714285,0.0,0.0,0.9047619047619048,0,0,1,1.0,0.047619047619047616,12.238095238095237,7.217074739841174,0.12169780994584563,0.03628117913832199
837,2016,haryanto,Rio,Haryanto,Indonesian,39.0,31.0,0.7948717948717948,8.0,0.20512820512820512,2.0,0.05128205128205128,6.0,0.15384615384615385,0.0,0.0,0.9487179487179487,0,0,3,6.0,0.15384615384615385,11.923076923076923,6.549161682053099,0.132465039446345,0.1222879684418146
838,2016,vandoorne,Stoffel,Vandoorne,Belgian,12.0,9.0,0.75,3.0,0.25,1.0,0.08333333333333333,2.0,0.16666666666666666,0.0,0.0,0.9166666666666666,0,0,0,0.0,0.0,13.666666666666666,8.086339647138802,0.11005531807463197,0.0
838,2017,vandoorne,Stoffel,Vandoorne,Belgian,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1.0,1.0,10.0,0.0,1.0,1.0
838,2018,vandoorne,Stoffel,Vandoorne,Belgian,21.0,15.0,0.7142857142857143,6.0,0.2857142857142857,3.0,0.14285714285714285,3.0,0.14285714285714285,0.0,0.0,0.8571428571428572,0,0,4,14.0,0.6666666666666666,8.285714285714286,5.564709012568206,0.152329676469359,0.47619047619047616
839,2016,ocon,Esteban,Ocon,French,42.0,34.0,0.8095238095238095,8.0,0.19047619047619047,5.0,0.11904761904761904,3.0,0.07142857142857142,0.0,0.0,0.8809523809523809,0,0,8,26.0,0.6190476190476191,9.785714285714286,5.226014206811526,0.16061640188773696,0.5011337868480726
839,2017,ocon,Esteban,Ocon,French,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,17.0,2.9439202887759524,0.25355482027512355,0.0
839,2018,ocon,Esteban,Ocon,French,29.0,28.0,0.9655172413793104,1.0,0.034482758620689655,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,1.0,0,0,18,87.0,3.0,10.482758620689655,5.150297545172028,0.16259375951412272,2.896551724137931
839,2020,ocon,Esteban,Ocon,French,50.0,44.0,0.88,6.0,0.12,2.0,0.04,4.0,0.08,0.0,0.0,0.96,0,0,28,136.0,2.72,8.84,5.345502782713708,0.15759192521736498,2.3936
839,2021,ocon,Esteban,Ocon,French,67.0,57.0,0.8507462686567164,10.0,0.14925373134328357,6.0,0.08955223880597014,4.0,0.05970149253731343,0.0,0.0,0.9104477611940298,0,1,38,198.0,2.955223880597015,8.208955223880597,5.239167398341634,0.16027779608314394,2.5141456894631324
839,2022,ocon,Esteban,Ocon,French,89.0,76.0,0.8539325842696629,13.0,0.14606741573033707,8.0,0.0898876404494382,5.0,0.056179775280898875,0.0,0.0,0.9101123595505618,1,2,52,272.0,3.056179775280899,8.134831460674157,5.061844517111794,0.16496628991013063,2.6097714934982954
839,2023,ocon,Esteban,Ocon,French,111.0,96.0,0.8648648648648649,15.0,0.13513513513513514,10.0,0.09009009009009009,5.0,0.04504504504504504,0.0,0.0,0.9099099099099099,1,2,68,361.0,3.2522522522522523,8.0,4.768515360019168,0.17335483007133348,2.8127587046505966
839,2024,ocon,Esteban,Ocon,French,133.0,112.0,0.8421052631578947,21.0,0.15789473684210525,14.0,0.10526315789473684,7.0,0.05263157894736842,0.0,0.0,0.8947368421052632,1,3,80,417.0,3.1353383458646618,7.796992481203008,4.824373267171198,0.17169229273756412,2.6402849228333993
